1996 Item,Higher Confidence Source,Final Confidence Level,Final Predicted HS Code
1/ Provided for in subheading 1806.20.73.... 1/ 11.4¢/kg + 3.2%,GPT,0.582788348197937,99129543
1/ Skating boots for use in the manufacture of,GPT,0.750110924243927,95067040
1/ Specified in U.S. note 24 to,HF,0.548937976360321,99130805
1/ Strip certified by the importer as,GPT,0.5219448804855347,74093990
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative,GPT,0.5262993574142456,99130455
1/ Subject to the quantitative limits,GPT,0.5968844890594482,99130455
"1/ Television picture tubes, color, having a video",GPT,0.7881034612655641,85401150
"1/ Toilet paper, of cellulose webbing or webs of",HF,0.6626802086830139,48183000
"1/ Track suit shirts, of cotton (provided for",HF,0.7569952607154846,61121100
"1/ Tubes, pipes and hollow profiles of",HF,0.7483118176460266,73030000
"1/ Tubes, pipes and hollow profiles of",HF,0.7483118176460266,73030000
"1/ Tubes, pipes and hollow profiles of",HF,0.7483118176460266,73030000
"1/ Tubes, pipes and hollow profiles of",HF,0.7483118176460266,73030000
1/ Valued $1.10/kg or more,GPT,0.618951678276062,35030040
1/ Valued $1.10/kg or more,GPT,0.618951678276062,35030040
1/ Valued $1.10/kg or more,GPT,0.618951678276062,35030040
1/ Valued $1.10/kg or more,GPT,0.618951678276062,35030040
1/ Valued $1.10/kg or more,GPT,0.618951678276062,35030040
1/ Valued $1.10/kg or more,GPT,0.618951678276062,35030040
1/ Valued $1.10/kg or more,GPT,0.618951678276062,35030040
1/ Valued $1.10/kg or more,GPT,0.618951678276062,35030040
1/ Valued $1.10/kg or more,GPT,0.618951678276062,35030040
1/ Valued $1.20/kg or more,GPT,0.5929905772209167,35030040
1/ Valued $1.30/kg or more,GPT,0.5888768434524536,35030040
1/ Valued $1.40/kg or more,GPT,0.5991778373718262,35030040
1/ Valued $1.50/kg or more,GPT,0.585345983505249,35030040
1/ Valued $1.55/kg or more,GPT,0.6195353269577026,35030040
1/ Valued $1.80/kg or more,GPT,0.6044042110443115,35030040
1/ Valued $1/liter or more,GPT,0.6170589923858643,22086010
1/ Valued $2.05/kg or more,GPT,0.588894248008728,35030040
1/ Valued $2.40/kg or more,GPT,0.6022430062294006,35030040
1/ Valued $2.65/kg or more,GPT,0.5972079038619995,35030040
1/ Valued $3.20/kg or more,GPT,0.6001980900764465,99040447
1/ Valued $4.20/kg or more,GPT,0.5980377197265625,35030040
1/ Valued 10¢/kg or more,GPT,0.5965511202812195,99129582
1/ Valued 15¢/kg or more,GPT,0.6330142021179199,99129542
1/ Valued 15¢/kg or more,GPT,0.6330142021179199,99129542
1/ Valued 15¢/kg or more,GPT,0.6330142021179199,99129542
1/ Valued 15¢/kg or more,GPT,0.6330142021179199,99129542
1/ Valued 15¢/kg or more,GPT,0.6330142021179199,99129542
1/ Valued 15¢/kg or more,GPT,0.6330142021179199,99129542
1/ Valued 15¢/kg or more,GPT,0.6330142021179199,99129542
1/ Valued 15¢/kg or more,GPT,0.6330142021179199,99129542
1/ Valued 15¢/kg or more,GPT,0.6330142021179199,99129542
1/ Valued 25¢/kg or more,GPT,0.641492486000061,35030040
1/ Valued 30¢/kg or more,GPT,0.5997478365898132,99129542
1/ Valued 30¢/kg or more,GPT,0.5997478365898132,99129542
1/ Valued 30¢/kg or more,GPT,0.5997478365898132,99129542
1/ Valued 30¢/kg or more,GPT,0.5997478365898132,99129542
1/ Valued 35¢/kg or more but,GPT,0.6195838451385498,99129543
1/ Valued 40¢/kg or more,GPT,0.6595449447631836,35030040
1/ Valued 40¢/kg or more,GPT,0.6595449447631836,35030040
1/ Valued 40¢/kg or more,GPT,0.6595449447631836,35030040
1/ Valued 40¢/kg or more,GPT,0.6595449447631836,35030040
1/ Valued 40¢/liter or more,GPT,0.6006394624710083,99040406
1/ Valued 50¢/kg or more,GPT,0.629863977432251,35030040
1/ Valued 50¢/kg or more,GPT,0.629863977432251,35030040
1/ Valued 50¢/kg or more,GPT,0.629863977432251,35030040
1/ Valued 50¢/kg or more,GPT,0.629863977432251,35030040
1/ Valued 55¢/kg or more,GPT,0.6398879885673523,35030040
1/ Valued 70¢/kg or more,GPT,0.6432998180389404,35030040
1/ Valued 75¢/kg or more.................... 1/ No additional duty,GPT,0.5605650544166565,99129544
1/ Valued 90¢/kg or more,GPT,0.5991373062133789,99129544
1/ Valued 90¢/kg or more,GPT,0.5991373062133789,99129544
1/ Valued 90¢/kg or more,GPT,0.5991373062133789,99129544
1/ Valued 90¢/kg or more,GPT,0.5991373062133789,99129544
1/ Valued 90¢/kg or more,GPT,0.5991373062133789,99129544
1/ Valued 90¢/kg or more,GPT,0.5991373062133789,99129544
1/ Valued 90¢/kg or more,GPT,0.5991373062133789,99129544
1/ Valued 90¢/kg or more,GPT,0.5991373062133789,99129544
1/ Valued 90¢/kg or more,GPT,0.5991373062133789,99129544
1/ Valued 95¢/kg or more,GPT,0.6044282913208008,35030040
1/ Valued less than $1.20/kg................ 1/ $3.159/kg,HF,0.5822010636329651,99041208
1/ Valued less than 10¢/kg............. 1/ 36.6¢/kg,GPT,0.5939993858337402,99129543
1/ Valued not over $1.22/kg....... 1/ 67.8¢/kg (MX),GPT,0.6029665470123291,99129543
1/ Valued not over $1.27/kg....... 1/ 74.1¢/kg (MX),GPT,0.6002029776573181,99129543
1/ Valued not over $1.27/kg....... 1/ 83.5¢/kg (MX),GPT,0.6004912853240967,99129543
1/ Valued not over $1.72/kg....... 1/ 84¢/kg (MX),GPT,0.5953998565673828,99129543
1/ Valued not over $1.76/kg....... 1/ 85.8¢/kg (MX),HF,0.5896775722503662,99129543
1/ Valued not over 28.3¢/kg....... 1/ 23.9¢/kg (MX),GPT,0.6337664723396301,99129544
1/ Valued not over 28.3¢/kg....... 1/ 23.9¢/kg (MX),GPT,0.6337664723396301,99129544
1/ Valued not over 28.3¢/kg....... 1/ 23.9¢/kg (MX),GPT,0.6337664723396301,99129544
1/ Valued not over 28.3¢/kg....... 1/ 23.9¢/kg (MX),GPT,0.6337664723396301,99129544
1/ Valued not over 31.5¢/kg.. 1/ 26.5¢/kg (MX),GPT,0.6199274063110352,99129543
1/ Valued not over 42.1¢/kg....... 1/ 27.8¢/kg (MX),GPT,0.6295382976531982,99129534
1/ Valued not over 43.75¢/kg...... 1/ 29.7¢/kg (MX),GPT,0.6353079080581665,99129543
1/ Valued not over 47.7¢/kg....... 1/ 30.5¢/kg (MX),GPT,0.6287401914596558,99129543
1/ Valued not over 51.2¢/kg....... 1/ 33¢/kg (MX),GPT,0.6139176487922668,99129543
1/ Valued not over 74.8¢/kg....... 1/ 49.2¢/kg (MX),GPT,0.6099645495414734,99129544
12-Aminododecanoic acid lactam,HF,1.0,29337940
"1u(s*),3u(Z)-(o)-cyano(3-phenoxypheyl)methyl 3-(2-chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropanecarboxylate",HF,0.6921637654304504,29081905
"2,2'-Dithiobisbenzothiazole",HF,1.000000238418579,29342010
2-(Trifluoromethyl)phenothiazine,HF,1.0000001192092896,29343012
"2-Methyl-4-isothiazoline-3-one, morpholinoethyl chloride hydrochloride, 2-methyl-2,5-dioxo-1-oxa-2-phospholan, (6r-trans)-7-amino-3-methyl-8-oxo-5-thia-1-azabicyclo 4,2,o -oct-2-ene-2-carboxylic acid",GPT,0.7637106776237488,29349970
"3,5-Dibromo-4-hydroxybenzonitrile (Bromoxynil)",HF,1.000000238418579,29269023
"3,5-Dinitro-o-toluamide",HF,1.0000001192092896,29242903
"3- or 4-thread twill, incl. cross twill, less than 85% polyester staple fibers mixed mainly or solely with cotton, over 170 g/m2, dyed",HF,0.9065415859222412,55142200
4-Chlorobenzoic acid,HF,1.0000001192092896,29163916
5-Benzoyl-4-hydroxy-2-methoxy-benzenesulfonic acid,HF,1.0000001192092896,29145010
"6-Bromo-5-methyl-1h-imidazo-4,5-b pyridine, 2-sec-butyl-4-tert-butyl-6-(benzotriazol-2-yl)phenol, 2-tert-butyl",HF,0.9544954895973206,29339912
Accounting machines,HF,0.6855663657188416,84709001
Acetates of polyhydric alcohols or of polyhydric alcohol ethers,HF,1.0,29153947
Acid violet 19,HF,1.0,32041213
Aggregate value over $200,GPT,0.4927496612071991,99038149
"Air conditioning machines incorporating a refrigerating unit, nesi",HF,0.9432801008224488,84158201
"Air or gas pumps, compressors and fans, nesi",HF,0.9465557336807252,84148090
Airbags,HF,0.6304670572280884,87089520
"Almonds, shelled, fresh or dried",HF,0.9890426993370056,8021200
"Aluminum foil of a thickness exceeding 0.01 mm but not exceeding 0.15 mm, rolled but not further worked, not backed",HF,0.8859802484512329,76071160
Aluminum powders of lamellar structure; aluminum flakes,HF,0.984425961971283,76032000
"Aminohydroxynaphthalene sulfonic acids and their salts, nesi",HF,0.954394280910492,29222150
"Ammonium nitrate, whether or not in aqueous solution",HF,1.000000238418579,31023000
Aniline salts,HF,0.9999999403953552,29214120
Anoraks (including ski-jackets) windbreakers and similar articles (including padded sleeveless jackets) imported as parts of suits,HF,0.7272560000419617,62112004
"Apple juice, unfermented and not containing added spirit",HF,0.8030822277069092,20091100
"Apricot, peach or plum stones and kernels",HF,0.8563687801361084,12129930
"Apricots, dried",HF,1.0,8131000
"Aromatic alcohol, ether and ketone peroxides and their halogenated, sulfonated, nitrated, nitrosated derivatives, in add. US note 3 sec. VI",HF,1.0,29096010
"Aromatic amino-acids and their esters, exc. those with more than one oxygen function; salts, described in add. U.S. note 3, sec. VI",HF,0.9700931310653688,29224930
"Aromatic drugs derived from carboxylic acids with additional oxygen function, and their derivatives, nesi",HF,0.9446806907653807,29189930
Aromatic fungicides of nitrile-function compounds,HF,1.0,29269021
"Aromatic or modified aromatic heterocyclic compounds nesi, with nitrogen hetero-atom(s) only, cont. pyrimidine or piperazine ring",HF,0.939549446105957,29335980
"Aromatic pesticides of organo-sulfur compounds, nesi",HF,0.9573270678520204,29309010
"Articles of apparel, of reptile leather",HF,1.0,42031020
Articles of cadmium nesi,HF,0.8680962324142456,81126990
"Articles of gold, including metal clad with gold, nesi",HF,0.8189998865127563,71159060
Articles of goldsmiths' or silversmiths' wares of base metal clad with precious metal,HF,0.9711713790893556,71142000
"Articles of iron or steel, nesi, coated or plated with precious metal",HF,0.9387685656547546,73269060
"Articles of travertine simply cut or sawn, with a flat or even surface, dressed or polished, not further worked",GPT,0.7581280469894409,68022110
"Articles of yarn, strip, twine, cordage, rope or cables nesi, of man-made fibers",HF,0.9733644723892212,56090030
"Artificial fire logs, composed of wax and sawdust, with or without added materials",HF,1.000000238418579,44013920
"Artificial flowers, foliage, fruit and parts thereof, and articles therefrom, of materials nesi",HF,0.8615444302558899,67029065
Artificial waxes and prepared waxes of polyethylene glycol,HF,1.0000001192092896,34042000
"Automatic circuit breakers, for a voltage not exceeding 1,000 V",HF,1.000000238418579,85362000
"Auxiliary machinery for machines of heading 8444, 8445, 8446 or 8447, nesi",HF,0.9627507925033568,84481900
"Babies' blouses and shirts, except those imported as parts of sets, not knitted or crocheted, of cotton",HF,1.0,62092020
Badminton nets of cotton,HF,0.98781019449234,95069908
"Bars and rods, nesi, of ball-bearing steel, not further worked than hot-rolled, hot-drawn or extruded",HF,0.8753948211669922,72283020
Baseballs and softballs,HF,1.0,95066920
Basic paper to be sensitized for use in photography,HF,0.7978506088256836,48101460
"Beans, prepared or preserved by vinegar or acetic acid",HF,1.0000001192092896,20019030
"Bedspreads, not knitted or crocheted, of manmade fibers, nesi",HF,0.9639541506767272,63041920
"Belt type continuous-action elevators and conveyors, for goods or materials",HF,1.0000001192092896,84283300
Benzenesulfonyl chloride,HF,1.0000001192092896,29041008
Beryllium oxide and hydroxide,HF,1.0,28259010
Bis(bromoacetoxy)butene,HF,1.0,29153960
"Blades for knives having fixed blades, of base metal",HF,0.975220799446106,82119410
"Bleached plain weave fabrics of cotton, 85% or more cotton by weight, weighing more than 200 g/m2",HF,1.0,52092100
"Bleached plain weave fabrics of cotton, under 85% cotton by weight, mixed mainly with man-made fibers, over 200 g/m2",HF,0.9941996335983276,52112021
"Bleached satin or twill weave fabrics of cotton, under 85% cotton by weight, mixed mainly with man-made fibers, not more than 200 g/m2",HF,0.9942209720611572,52102920
"Blinds (including venetian blinds), of plastics",HF,0.9999999403953552,39253010
"Bodies (including cabs), for the vehicles of heading 8703",HF,0.8428853750228882,87079050
"Boiled clams in immediate airtight containers, the contents of which do not exceed 680 g gross weight",HF,1.0000001192092896,16055615
"Bones & horn-cores, unworked, defatted, simply prepared (but not cut to shape) or degelatinized; powder & waste of these products",HF,0.9999999403953552,5069000
"Bovine (except buffalo) leather, nesi, and equine leather, w/o hair, pretanned, tanned or retanned, not further prepared",HF,0.9004194140434265,41079970
"Brewery machinery, nesi",HF,0.9088791608810424,84384000
Bromides of sodium or of potassium,HF,0.994930863380432,28275100
"Brushes constituting parts of machines, appliances or vehicles, nesi",HF,0.915946125984192,96035000
"Brussels sprouts, uncooked or cooked by steaming or boiling in water, frozen, reduced in size",HF,1.0,7108085
"Buta-l,3-diene",HF,1.0,29012410
Butene (Butylene) and isomers thereof,HF,1.0,29012300
"Butt welding tube or pipe fittings of iron or steel (except stainless steel), inside diameter of 360 mm or more, nesi",HF,0.847426176071167,73079390
Butt welding tube or pipe fittings of stainless steel,HF,0.9153280258178712,73072300
"Buttons of acrylic resin, of polyester resin, or of both such resins, covered with textile material",HF,0.9837664365768432,96062920
Butylene glycol,HF,1.0,29053910
Butylene oxide,HF,0.9999998807907104,29109010
Calcareous monumental or building stone of apparent spec. gravity <2.5 (except granite or sandstone) in blocks or slabs,HF,0.8142333626747131,25152000
"Calcium hydrogenorthophosphate (""Dicalcium phosphate"")",HF,0.991740345954895,28352500
Cane molasses imported for (a) the commercial extraction of sugar or (b) human consumption,HF,1.0,17031030
Carbonaceous pastes for electrodes and similar pastes for furnace linings,HF,1.000000238418579,38013000
"Carpet sweepers, not electromechanical having self-contained electric motor",HF,1.0000001192092896,84798970
Casein glues,HF,0.9999999403953552,35019020
Cassava (manioc) starch,HF,0.9999998807907104,11081400
"Castor beans, whether or not broken",HF,0.5664874911308289,12019000
"Catheters, cannulae and the like nesi, used in medical, surgical, dental or veterinary sciences, and parts and accessories thereof",HF,0.9473041296005248,90183900
Cement copper (precipitated copper),HF,0.8583480715751648,74010000
"Ceramic household table and kitchenware, in specified sets as listed in add. note 8(b), valued over $38, not of porcelain or china",HF,0.8668799400329591,69120039
"Ceramic troughs, tubes and like receptacles used in agriculture; ceramic pots, jars, & like articles used in conveyance or packing of goods",HF,0.8137177228927612,69099000
"Chassis fitted with engines, for the vehicles of heading 8703",HF,0.8910357356071472,87060025
"Chassis fitted with engines, for tractors suitable for agricultural use",HF,0.9814830422401428,87060030
"Chemical elements doped for use in electronics, in the form of discs, wafers etc., chemical compounds doped for electronic use",HF,1.0000001192092896,38180000
Chloride oxides and chloride hydroxides of vanadium,HF,1.0,28274910
Chlorosulfuric acid,HF,1.0,28062000
Cigarette paper in the form of booklets or tubes,HF,1.0,48131000
"Cinnamon and cinnamon-tree flowers, crushed or ground",HF,1.0,9062000
"Clasps and frames with clasps, incorporating locks, of base metal",HF,0.9777957797050476,83015000
"Coated multi-ply paper and paperboard, nesi, in rolls or sheets",HF,0.8457982540130615,48109265
Cobalt ores and concentrates,HF,1.0000001192092896,26050000
"Cod, cusk, haddock, pollock and Atlantic Ocean perch (rosefish)",HF,0.7824797630310059,3044901
Colloidal or semi-colloidal graphite,HF,1.0,38012000
"Coloring matter and preparations, nesi, as specified in note 3 to this chapter 32",HF,0.9400247931480408,32064960
Combed wool in fragments,HF,1.0,51052100
"Combinations of thermometers, barometers and similar temperature and atmosphere measuring and recording instruments, nonelectrical",HF,1.0,90258050
Complete dumpers designed for off-highway use,HF,0.8378612995147705,87041050
"Complete watch movements, unassembled or partly assembled (movement sets)",HF,1.0,91101100
"Compression-ignition internal-combustion piston engines used for propulsion of vehicles of chapter 87, nesi",HF,0.9743430614471436,84082090
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Containing 70 percent or more by weight of silk or silk waste,HF,0.8333443403244019,62139007
Copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver),HF,0.9516606330871582,74082210
"Corrugated paper and paperboard, whether or not perforated, in rolls or sheets",HF,1.0000001192092896,48081000
"Cotton damask tablecloths and napkins, not knitted or crocheted",HF,0.9782434701919556,63025110
Cotton garnetted stock,HF,1.0000001192092896,52029100
"Crabmeat, frozen",HF,1.0,3061420
"Crowbars, track tools and wedges, and parts thereof, of base metal",HF,0.980088710784912,82055930
"Cruise ships, excursion boats and similar vessels principally designed for the transport of persons; ferry boats of all kinds",HF,0.9601288437843324,89011000
"Cucumbers, including gherkins, fresh or chilled, if entered March 1 to April 30, inclusive, in any year",HF,1.0,7070040
Cups valued over $8 but not over $29 per dozen saucers valued over $5.25 but not over $18.75 per dozen soups oatmeals and cereals valued over $9.30 but not over $33 per dozen plates not over 22.9cm in,GPT,0.6770778298377991,69120039
"Curtains (including drapes), interior blinds and valances of cotton, not knitted or crocheted",HF,1.0,63039100
"Cuttle fish and squid, live, fresh or chilled",HF,0.9743931889533995,3074200
"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives and salts, from any nonaromatic compounds",HF,1.0,29213050
Cyclohexane,HF,1.0,29021100
Cyclohexanone,HF,1.0,29142210
"DC motors, nesi, 149.2 kW or more but not exceeding 150 kW",HF,0.9626048803329468,85013330
Decabromodiphenyl oxide; and octabromodiphenyl oxide,HF,1.0,29093007
"Deciduous veneer strips and sheets, not over 6 mm thick",HF,0.6960115432739258,44089001
"Densified wood, in blocks, plates, strips or profile shapes",HF,1.0000001192092896,44130000
Described in additional U.S note 10 to chapter 4 and entered pursuant to its provisions,HF,0.4900965690612793,98220125
